,PERMNO,year,ret,price
138,10028,2008,-0.623287145,1.4311
139,10028,2009,1.881813929,1.779758333
140,10028,2010,1.23974795,4.506483333
141,10028,2011,0.053522047,7.966666667
142,10028,2012,-0.604278084,4.994
143,10028,2013,-0.506756911,2.336666667
144,10028,2014,-0.694041253,1.220558333
145,10028,2015,0.634206704,0.357666667
146,10028,2016,1.287670044,1.2275
147,10032,1990,-0.033332273,5.083333333
148,10032,1991,3.0344815,16.03125
149,10032,1992,-0.384614663,16.375
150,10032,1993,-0.020831605,15.23958333
151,10032,1994,0.148935771,11.43229167
152,10032,1995,0.129629335,15.19791667
153,10032,1996,2.659840821,25.234375
154,10032,1997,-0.28779438,25.68229167
155,10032,1998,0.515723589,28.24479167
156,10032,1999,2.751036081,53.74739583
157,10032,2000,-0.415928452,55.78026083
158,10032,2001,-0.451514332,25.92333333
159,10032,2002,-0.365192528,11.1625
160,10032,2003,0.174936208,16.67416667
161,10032,2004,0.05407604,12.24416667
162,10032,2005,1.404074834,27.25416667
163,10032,2006,-0.327973826,20.85
164,10032,2007,0.204000834,26.05416667
165,10032,2008,-0.260839504,19.29333333
166,10032,2009,0.306941341,30.04416667
167,10032,2010,0.301796607,31.008125
168,10032,2011,-0.189889106,29.45166667
169,10032,2012,0.059928015,27.0825
170,10032,2013,0.448312298,39.50833333
171,10032,2014,0.013629539,40.86166667
172,10032,2015,-0.015496022,38.43916667
173,10032,2016,0.216898808,51.21083333
174,10035,1990,0.835051351,23.63541667
175,10035,1991,-0.511236422,19.71875
176,10035,1992,-0.126438482,10.6875
177,10035,1993,0.368421326,13.40625
178,10035,1994,-0.153846259,11.671875
179,10035,1995,-0.204546564,10.02083333
180,10035,1996,-0.357142846,7.072916667
181,10035,1997,1.394447662,8.971354167
182,10035,1998,-0.443154665,5.419270833
183,10035,1999,-0.516666944,5.776041667
184,10035,2000,0.015173837,4.967604167
185,10035,2001,-0.040761787,3.09
186,10035,2002,-0.577904887,1.868333333
187,10035,2003,0.375839249,1.7278
188,10039,1990,0.18518547,-1.395833333
189,10039,1991,-0.250000677,-1.317708333
190,10039,1992,2.500004627,-0.6875
191,10039,1993,-0.333333339,2.015625
192,10039,1994,0.160714488,-0.270833333
193,10039,1995,-0.169230654,0.348958333
194,10039,1996,0.629628415,-1.7890625
195,10039,1997,0.113635574,2.6328125
196,10039,1998,2.061231563,5.602864167
197,10039,1999,-0.076667298,25.08854167
198,10039,2000,-0.924909749,15.57295455
199,10042,1990,-0.602564612,0.56901
200,10042,1991,1.967734033,2.216145833
201,10042,1992,0.15217406,2.171875
202,10042,1993,-0.245282958,3.46875
203,10042,1994,-0.09999936,2.03125
204,10042,1995,0.222223888,2.776041667
205,10042,1996,-0.090909712,2.75
206,10042,1997,-0.700000295,1.40625
207,10042,1998,-0.749999604,0.278645833
208,10042,1999,0.166665499,0.559895833
209,10042,2000,0.257142378,1.006875
210,10042,2001,0.954544917,1.3725
211,10042,2002,-0.372091642,1.506666667
212,10042,2003,1.881478331,3.19
213,10042,2004,-0.822621924,1.8175
214,10042,2005,0.463769113,0.840825
215,10042,2006,-0.445545422,0.749166667
216,10042,2007,-0.196428587,0.4275375
217,10044,1990,0.153283245,-3.7890625
218,10044,1991,-0.088607489,-3.78125
219,10044,1992,0.138889871,-0.067708333
220,10044,1993,1.512192384,8.052083333
221,10044,1994,0.398059069,7.260416667
222,10044,1995,-0.361110323,9.21875
223,10044,1996,-0.608695718,4.765625
224,10044,1997,0.458332613,4.802083333
225,10044,1998,-0.085714341,4.203125
226,10044,1999,-0.208332747,2.666666667
227,10044,2000,0.957895587,4.569791667
228,10044,2001,0.512113652,9.079808333
229,10044,2002,-0.241490723,6.5666
230,10044,2003,1.671342259,11.065
231,10044,2004,1.482295255,17.11083333
232,10044,2005,-0.398115034,15.96465833
233,10044,2006,0.253030537,14.16658333
234,10044,2007,-0.345218625,14.24335
235,10044,2008,-0.153814664,7.1718
236,10044,2009,0.262237845,8.724658333
237,10044,2010,0.107092899,9.910316667
238,10044,2011,0.216613671,9.258908333
239,10044,2012,0.121280107,11.94
240,10044,2013,0.099870359,12.27416667
241,10044,2014,0.033067704,13.17165833
242,10044,2015,-0.194488972,10.84416667
243,10044,2016,0.211050111,11.0375
244,10051,1990,0.699998907,-1.661458333
245,10051,1991,0.558823788,8.291666667
246,10051,1992,0.056603407,7.520833333
247,10051,1993,-0.357142902,5.979166667
248,10051,1994,-0.305555811,3.229166667
249,10051,1995,0.95999824,3.697916667
250,10051,1996,0.408164189,6.671875
251,10051,1997,1.362317496,15.03645833
252,10051,1998,-0.303681332,17.97395833
253,10051,1999,-0.651982298,8.484375
254,10051,2000,-0.483544244,2.260833333
255,10051,2001,4.956867042,8.415833333
256,10051,2002,-0.246215649,12.85416667
257,10051,2003,0.023578759,15.8575
258,10051,2004,-0.569965862,6.51
259,10051,2005,0.658731323,7.033333333
260,10051,2006,0.291865875,9.1475
261,10051,2007,0.526853304,11.635
262,10051,2008,-0.175863717,15.0875
263,10051,2009,0.321559519,15.77916667
264,10051,2010,0.362472565,21.175
265,10051,2011,0.047812316,20.30333333
266,10051,2012,0.233617179,28.79833333
267,10051,2013,-0.005691152,34.6425
268,10051,2014,-0.254690659,23.39833333
269,10051,2015,-0.424488352,16.16285714
270,10055,1990,0.146342162,6.010416667
271,10055,1991,-0.361701871,5.833333333
272,10055,1992,-0.533333359,1.802083333
273,10055,1993,-0.767857138,1.200520833
274,10055,1994,-0.884615256,0.18099
275,10055,1995,-0.333333,0.03125
276,10057,1990,-0.212292868,6.09375
277,10057,1991,0.07579613,7.520833333
278,10057,1992,0.92502743,8.46875
279,10057,1993,-0.035269087,10.40625
280,10057,1994,1.345630636,15.55208333
281,10057,1995,0.297059208,24.98958333
282,10062,1990,-0.279068626,3.520833333
283,10062,1991,-0.09677449,2.453125
284,10062,1992,0.250000031,4.177083333
285,10062,1993,-0.342856534,3.463541667
286,10062,1994,0.608695998,3.760416667
287,10062,1995,-0.243243127,3.432291667
288,10062,1996,-0.428571402,2.630208333
289,10062,1997,0.251250691,3.713541667
290,10062,1998,-0.878571597,5.5
291,10062,1999,-0.4117648,-0.15625
292,10064,1990,-0.154762411,14.17708333
293,10064,1991,0.977166562,32.72916667
294,10064,1992,-0.330780482,14.14583333
295,10064,1993,-0.396725331,9.9375
296,10064,1994,-0.017856798,6.395833333
297,10064,1995,-0.254545066,5.572916667
298,10064,1996,1.195124022,8.625
299,10074,1990,-0.241820467,3.739583333
300,10074,1991,1.504598086,11.1875
301,10074,1992,0.607234067,8.416666667
